player_id,full_name,regular_games,playoff_games,regular_baseline_elo,playoff_baseline_elo,regular_total_delta,playoff_total_delta,regular_mean_delta,playoff_mean_delta,regular_median_delta,playoff_median_delta,regular_change_rate,playoff_change_rate,playoff_minus_regular,quadrant
1630170,Devin Vassell,367.0,25.0,1659.7366827567464,1667.6822696970185,205.84421838436984,102.78459020575085,0.5608834288402448,4.1113836082300335,-0.5400171776230558,2.234231176644185,0.0003379351885557191,0.0024653278882535473,0.0021273926996978284,Q1
1456,Randy Wittman,535.0,38.0,1507.143655887539,1593.386342442142,-221.71460010555435,111.59066604883813,-0.41441981328141003,2.9365964749694244,-1.3377422808794102,-0.9951756872061538,-0.0002749703464978348,0.0018429908658992137,0.0021179612123970485,Q2
1629630,Ja Morant,327.0,27.0,1909.351874104944,1978.8666847713828,285.60917791263813,136.54554233892833,0.8734225624239699,5.057242308849197,-0.316621599960865,3.857386020086296,0.0004574445256893302,0.0025556255748645632,0.002098181049175233,Q1
1630577,Julian Champagnie,253.0,23.0,1510.395386236813,1623.7520620444693,149.9632293851211,92.40793505673562,0.5927400370953404,4.017736306814593,-0.1952952617200823,1.9623390462039585,0.00039244031231594706,0.0024743533207624404,0.0020819130084464934,Q1
201579,Roy Hibbert,662.0,54.0,1650.1843040677652,1739.8406219510189,-162.4941278545533,177.5416587635575,-0.2454594076352769,3.2878084956214355,-1.4227899121081133,1.0812589627617397,-0.0001487466624365596,0.0018897182041505386,0.0020384648665870983,Q2
78378,Elston Turner,490.0,43.0,1357.9589042294133,1355.6639777578275,-176.30365598486213,102.92320522856708,-0.3598033795609431,2.393562912292258,-0.857415009292416,-0.3315923998296101,-0.00026495896042238255,0.0017656019128361306,0.002030560873258513,Q2
456,Chuck Person,941.0,49.0,1658.9913403138323,1553.4340909261546,-181.43363250982486,145.38538875066334,-0.19280938630162048,2.9670487500135376,-1.1124503571745017,-0.0967440248420312,-0.00011622085155980778,0.0019099933285515762,0.002026214180111384,Q2
1626179,Terry Rozier,663.0,52.0,1663.0171121473477,1594.74283031859,-6.751198902116011,167.3412586753973,-0.010182803773930636,3.2181011283730254,-0.8028580360184101,-0.9415360193228896,-6.123090195254955e-06,0.0020179436252615907,0.002024066715456846,Q2
397,Reggie Miller,1388.0,144.0,1844.677547245157,1870.795305335111,-230.04238668322228,518.1020049243036,-0.16573658982941086,3.5979305897521083,-0.9443268294130915,1.5008097632657333,-8.984583244747681e-05,0.0019232091183314253,0.002013054950778902,Q2
423,Chris Gatling,700.0,15.0,1536.3390089051763,1530.9438426194924,15.502202618560203,46.292173252660426,0.02214600374080029,3.0861448835106953,-0.8911516189412152,0.0591617896388084,1.441478971270927e-05,0.0020158446035683487,0.0020014298138556394,Q1
203078,Bradley Beal,807.0,51.0,1850.817875650658,1857.720560843424,96.23293587604863,195.71815012054017,0.11924775201493015,3.837610786677258,-0.5282769132992851,3.195877093411976,6.442976026099187e-05,0.0020657632087222764,0.0020013334484612847,Q1
76242,Mike Bratz,572.0,37.0,1395.646057295372,1400.732246886307,-183.3803295795143,90.11814414299704,-0.32059498178236767,2.4356255173782984,-1.0062492734638702,-1.4829735984324277,-0.00022971080676690333,0.0017388230497244993,0.0019685338564914027,Q2
1629628,RJ Barrett,444.0,23.0,1732.027217018282,1747.7264057533018,273.8756447954846,92.8639941925182,0.6168370378276681,4.037564964892096,-0.2482142774993112,4.410092006691894,0.00035613588041045037,0.002310181359966254,0.0019540454795558037,Q1
